"O3H-1FN":[30000004,"G0",6136,1110158,32.160,16048.0,4.98,"S"],
"I9T-0FN":[30000005,"M0",3939,507509,1.590,793.3,17.81,"S"],
"OFC-3FN":[30000006,"G5",5744,607578,1.292,644.7,44.10,"M"],
"UR7-5FN":[30000007,"A9",8038,992741,1.724,860.3,70.16,"M"],
"O71-4FN":[30000008,"G8",5473,852007,22.111,11033.2,4.32,"S"],
"U2L-4FN":[30000009,"F0",7785,965458,2.821,1407.8,53.50,"M"],
"UT4-2FN":[30000010,"F7",6635,928114,4.355,2173.1,30.98,"S"],
"OMP-2FN":[30000011,"G5",5744,878941,0.688,343.2,74.91,"M"],
"E06-D68":[30000012,"M0",2211,160034,0.038,19.0,52.91,"M"],
"O8B-FS7":[30000013,"G1",6057,621177,23.912,11932.2,3.22,"S"],
"A33-1H8":[30000014,"M1",2130,136182,27.943,13943.6,0.07,"S"],
"I9D-919":[30000015,"K3",4854,592819,4.881,2435.4,10.17,"S"],
"O60-F49":[30000016,"G9",5307,863302,2.374,1184.5,34.83,"S"],
"O7H-D19":[30000017,"G4",5783,585527,3.315,1654.3,19.36,"S"],
"EVQ-3Q9":[30000018,"M9",2471,192369,20.084,10022.1,0.20,"S"],
"I9T-MV8":[30000019,"K6",4483,495907,39.418,19669.5,0.89,"S"],
"E8P-V58":[30000020,"M3",3516,488892,25.892,12920.0,0.89,"S"],
"IQ1-VS8":[30000021,"K5",4647,558895,5.518,2753.7,7.80,"S"],
"E4R-HL8":[30000022,"M9",2512,183981,4.467,2229.1,0.88,"S"],
"UGC-3C8":[30000023,"F3",7198,1020973,16.129,8048.3,11.61,"S"],
"E04-M88":[30000024,"M4",3335,251992,29.033,14487.5,0.32,"S"],
"E07-3N7":[30000025,"M4",3303,395522,0.484,241.4,30.35,"S"],
"AHR-HK7":[30000026,"M2",1725,106616,1.059,528.4,1.01,"S"],
"I8T-0L8":[30000027,"K8",4252,495095,34.661,17295.7,0.93,"S"],
"OM5-JM8":[30000028,"F7",6545,1021762,5.258,2623.9,28.59,"S"],
"E2M-6Q8":[30000029,"M6",2949,317961,1.421,709.0,7.06,"S"],
"I27-BL8":[30000030,"K3",4794,657037,0.455,227.2,68.98,"M"],
"A9G-2V8":[30000031,"M1",2139,95133,1.556,776.2,0.86,"S"],
"I82-6Q8":[30000032,"M0",3924,529857,6.314,3150.7,4.82,"S"],
"IQH-0B8":[30000033,"K9",4005,457924,0.862,430.3,28.49,"S"],
"EV2-NB9":[30000034,"M8",2627,185044,0.072,35.7,47.72,"M"],
"ERJ-P29":[30000035,"M0",2260,179055,4.381,2186.2,0.73,"S"],
"ELS-5C8":[30000036,"M6",3021,219369,0.291,145.0,21.97,"S"],
"EHP-6K8":[30000037,"M1",3724,317765,0.108,54.0,72.00,"M"],
"IMN-759":[30000038,"K6",4483,778912,3.468,1730.7,17.20,"S"],
"E2J-7P8":[30000039,"M8",2656,161771,0.015,7.6,82.96,"D"],
"O63-D59":[30000040,"G6",5585,734309,3.648,1820.4,21.70,"S"],
"I4T-8J8":[30000041,"K5",4531,606080,2.341,1168.1,18.97,"S"],
"IPF-V09":[30000042,"K4",4728,461281,15.079,7524.6,2.33,"S"],
"INL-3B8":[30000043,"K2",4930,708558,11.001,5489.6,5.80,"S"],
"EM9-K49":[30000044,"M3",3417,517705,0.457,228.0,43.09,"M"],
"O0D-P59":[30000045,"G2",5980,634202,1.738,867.4,38.73,"S"],
"E7L-RD8":[30000046,"M3",3407,245858,8.038,4011.0,1.17,"S"],
"ELT-QC9":[30000047,"M3",3471,438058,7.291,3638.1,2.69,"S"],
"OC7-TF8":[30000048,"G7",5529,747392,2.768,1381.4,27.94,"S"],
"ETM-1H8":[30000049,"M7",2802,175186,1.584,790.7,2.81,"S"],
"E1D-FG9":[30000050,"M4",3227,476239,0.719,359.0,25.28,"S"],
"I6P-M77":[30000051,"K5",4571,544558,3.917,1954.4,10.32,"S"],
"ICT-JF7":[30000052,"M0",3911,509551,0.128,64.0,81.83,"D"],
"UHK-6L6":[30000053,"F4",7059,1282425,10.606,5292.5,21.93,"S"],
"ID6-0Q7":[30000054,"M0",3961,525555,0.440,219.8,52.63,"M"],
"OPG-6K7":[30000055,"K0",5237,624201,4.449,2220.1,13.42,"S"],
"ITK-FQ6":[30000056,"K7",4376,553368,1.284,640.6,28.08,"S"],
"I43-KK7":[30000057,"K6",4443,520562,0.689,344.0,44.27,"M"],
"IGC-HP7":[30000058,"K5",4569,593427,29.949,14944.6,1.51,"S"],
"ENT-497":[30000059,"M4",3229,293667,0.275,137.3,34.70,"S"],
"UC7-GJ7":[30000060,"A8",8140,1407274,21.157,10557.4,15.98,"S"],
"E66-JC7":[30000061,"M2",3655,526003,25.145,12547.5,1.07,"S"],
"OL8-8Q7":[30000062,"G9",5340,570842,28.611,14277.0,1.96,"S"],
"E6G-7C7":[30000063,"M0",2346,112575,9.896,4938.3,0.19,"S"],
"IF8-147":[30000064,"K2",4989,629382,32.756,16345.3,1.72,"S"],
"O4R-4P7":[30000065,"K1",5052,638787,3.064,1528.7,18.60,"S"],
"OLP-7R6":[30000066,"G8",5451,706594,5.355,2672.1,13.87,"S"],
"A2K-BL7":[30000067,"M0",2193,175647,16.607,8286.7,0.18,"S"],
"E4Q-TK7":[30000068,"M2",3608,306832,9.532,4756.3,1.42,"S"],
"I8M-QB7":[30000069,"K7",4349,512612,1.498,747.3,22.27,"S"],
"E7J-MK7":[30000070,"M0",2231,194262,0.118,58.7,27.37,"S"],
"UDD-B77":[30000071,"F1",7531,1200530,11.855,5915.5,20.30,"S"],
"EPN-NP6":[30000072,"M0",2391,180955,26.026,12987.0,0.14,"S"],
"OG8-ND7":[30000073,"F8",6459,1194324,15.625,7796.7,12.09,"S"],
"URF-DK6":[30000074,"F0",7717,1073702,16.041,8004.6,13.90,"S"],
"EN4-3C7":[30000075,"M4",3291,326690,13.494,6733.5,0.93,"S"],
"IHT-D77":[30000076,"K9",4016,532867,28.181,14062.3,1.13,"S"],
"OMV-L37":[30000077,"G4",5758,746698,4.635,2313.0,18.56,"S"],
"IGL-V49":[30000078,"M0",3952,521225,0.686,342.5,38.45,"S"],
"USN-V69":[30000079,"F2",7377,1442155,7.312,3648.8,36.52,"S"],
"IGG-2D8":[30000080,"K9",4101,496348,6.881,3433.7,4.40,"S"],
"I74-Q09":[30000081,"K6",4457,538564,1.639,818.0,22.50,"S"],
"IJQ-JD8":[30000082,"K7",4312,472393,6.745,3366.0,4.59,"S"],
"I3T-HP9":[30000083,"K4",4670,753875,2.240,1117.9,26.44,"S"],
"END-NS8":[30000084,"M3",3374,249917,0.060,30.1,74.77,"M"],
"IQQ-HD9":[30000085,"M0",3953,437071,0.933,465.4,24.77,"S"],
"E49-G69":[30000086,"M9",2460,176005,29.664,14802.4,0.12,"S"],
"IKS-SV8":[30000087,"K4",4668,511926,16.123,8045.5,2.43,"S"],
"AFD-SB9":[30000088,"M1",1936,129003,2.330,1162.8,0.70,"S"],
"E6K-179":[30000089,"M1",3740,562001,12.651,6313.1,2.39,"S"],
"I3P-L19":[30000090,"K2",5007,542567,13.186,6580.0,3.59,"S"],
"ULH-RS8":[30000091,"F0",7660,1095348,17.080,8522.9,13.23,"S"],
